CustomerID,num_invoices,total_quantity,total_spend,avg_unit_price,country,repeat_buyer
12346.0,1,74215,77183.6,1.04,United Kingdom,0
12347.0,7,2458,4310.0,2.644010989010989,Iceland,1
12348.0,4,2341,1797.24,5.764838709677419,Finland,1
12349.0,1,631,1757.55,8.289041095890411,Italy,0
12350.0,1,197,334.4,3.841176470588235,Norway,0
12352.0,8,536,2506.04,15.93070588235294,Norway,1
12353.0,1,20,89.0,6.074999999999999,Bahrain,0
12354.0,1,530,1079.4,4.5037931034482765,Spain,0
12355.0,1,240,459.4,4.203846153846154,Bahrain,0
12356.0,3,1591,2811.43,3.201186440677966,Portugal,1
12357.0,1,2708,6207.67,3.3486259541984733,Switzerland,0
12358.0,2,248,1168.06,8.27421052631579,Austria,1
12359.0,4,1622,6372.58,8.620403225806452,Cyprus,1
12360.0,3,1165,2662.06,3.5496899224806198,Austria,1
12361.0,1,91,189.9,3.335,Belgium,0
12362.0,10,2229,5226.23,3.94093984962406,Belgium,1
12363.0,2,408,552.0,2.3117391304347827,Unspecified,1
12364.0,4,1506,1313.1,1.910235294117647,Belgium,1
12365.0,2,174,641.38,17.150454545454547,Cyprus,1
12367.0,1,173,168.9,3.2,Denmark,0
12370.0,4,2353,3545.69,2.800299401197605,Cyprus,1
12371.0,2,591,1887.96,3.8742857142857146,Switzerland,1
12372.0,3,794,1298.04,3.001346153846154,Denmark,1
12373.0,1,197,364.6,4.582142857142857,Austria,0
12374.0,1,342,742.9300000000001,4.21969696969697,Austria,0
12375.0,2,178,457.5,6.912941176470589,Finland,1
12377.0,2,944,1628.12,2.718831168831169,Switzerland,1
12378.0,1,2529,4008.62,2.9974429223744297,Switzerland,0
12379.0,2,407,852.24,2.86625,Belgium,1
12380.0,4,1127,2724.81,3.378653846153846,Belgium,1
12381.0,5,808,1845.31,4.683218390804598,Norway,1
12383.0,5,1532,1850.56,3.086969696969697,Belgium,1
12384.0,2,126,585.27,7.87925925925926,Switzerland,1
12386.0,2,354,401.9,2.391,Australia,1
12388.0,6,1462,2780.66,2.7777,Australia,1
12390.0,1,353,549.84,3.996875,Belgium,0
12391.0,1,300,460.89,2.4599,Cyprus,0
12393.0,4,816,1582.6000000000001,2.2796875,Australia,1
12394.0,2,819,1272.48,3.3707407407407404,Belgium,1
12395.0,12,2118,3018.63,3.9688461538461537,Belgium,1
12397.0,2,1263,2409.9,3.4682539682539684,Belgium,1
12398.0,1,1394,1635.6599999999999,1.992705882352941,Switzerland,0
12399.0,4,1178,1108.65,2.1145762711864404,Belgium,1
12401.0,1,11,84.3,9.68,Belgium,0
12402.0,1,94,225.6,3.290909090909091,Belgium,0
12403.0,1,96,427.7,7.080000000000001,Denmark,0
